# Timestamp Wed May  7 14:21:16 2025
# At the Calibration unit focal plane for flat field calibration mode
# Source is Thorlabs SLS201L QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
4.320000000000000000e+02,2.351495040041648495e-11,7.194387913854339636e-14,2.063330363016933984e-11,5.107319543981861323e+07,1.562581990339404147e+05,4.481441512434969842e+07
4.330000000000000000e+02,2.394040728935366795e-11,7.324556247085505195e-14,2.100662277486260723e-11,5.211762873951804638e+07,1.594536377570650657e+05,4.573085802672453970e+07
4.340000000000000000e+02,2.450139122431373127e-11,7.496189015720715840e-14,2.149886076238025064e-11,5.346206028834671527e+07,1.635669196994867525e+05,4.691053580127214640e+07
4.350000000000000000e+02,2.504647664508319987e-11,7.662957641485395868e-14,2.197714852397875412e-11,5.477736219512917846e+07,1.675910796403292043e+05,4.806465363464434445e+07
4.360000000000000000e+02,2.537155297557158601e-11,7.762414590503852689e-14,2.226238827638024681e-11,5.561587278707497567e+07,1.701564988164746319e+05,4.880040869030562788e+07
4.370000000000000000e+02,2.595053489495898050e-11,7.939553833932027942e-14,2.277041867983313823e-11,5.701550401758207381e+07,1.744386639229912544e+05,5.002852168470126390e+07
4.380000000000000000e+02,2.661526282786495847e-11,8.142927029497664291e-14,2.335368732542045382e-11,5.860977937961213291e+07,1.793163418260421022e+05,5.142742608614459634e+07
4.390000000000000000e+02,2.671727823475031798e-11,8.174138594813574372e-14,2.344320122314841195e-11,5.896875387157060206e+07,1.804146225803499110e+05,5.174240993947790563e+07
4.400000000000000000e+02,2.728516969332271090e-11,8.347884717019385048e-14,2.394150024969011288e-11,6.035934974892908335e+07,1.846691440667938732e+05,5.296259482083283365e+07
4.410000000000000000e+02,2.764342160818286995e-11,8.457491720329901415e-14,2.425585007435605759e-11,6.129084428963623196e+07,1.875190471928349289e+05,5.377993907888899744e+07
4.420000000000000000e+02,2.827308242911327627e-11,8.650136149630892143e-14,2.480834891790235938e-11,6.282907206469617784e+07,1.922252477695754205e+05,5.512966426200525463e+07
4.430000000000000000e+02,2.870208901899042135e-11,8.781390512179805775e-14,2.518478276435103798e-11,6.392672415994348377e+07,1.955835091450806940e+05,5.609280424639271945e+07
4.440000000000000000e+02,2.936357152201266501e-11,8.983770770012927674e-14,2.576520369224976581e-11,6.554764080328620225e+07,2.005426959218572301e+05,5.751508516520310193e+07
4.450000000000000000e+02,2.973673390586460440e-11,9.097939624234363858e-14,2.609263677793633117e-11,6.653014875872172415e+07,2.035486743481293379e+05,5.837719138351769745e+07
4.460000000000000000e+02,3.010788132653252404e-11,9.211492001426032925e-14,2.641830182471694153e-11,6.751189075733287632e+07,2.065523093331328128e+05,5.923862550942060351e+07
