# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for Spectrograph Grid Pinholes calibration mode
# Source is LDLS 100um Core
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
3.890000000000000000e+02,2.182916068144478379e-17,6.678621349479401007e-20,1.915409952657297823e-17,4.269252642072409287e+01,1.306175819480888400e-01,3.746075774679179915e+01
3.900000000000000000e+02,2.182909310262525631e-17,6.678600673771642255e-20,1.915404022922050619e-17,4.280214333848089581e+01,1.309529543876792601e-01,3.755694162592256191e+01
3.910000000000000000e+02,2.187033564879309222e-17,6.691218811196299056e-20,1.919022869498682725e-17,4.299296751472147093e+01,1.315367800491580308e-01,3.772438119527325995e+01
3.920000000000000000e+02,2.189835134373629542e-17,6.699790199766782016e-20,1.921481119804679937e-17,4.315813839489506876e+01,1.320421195730809016e-01,3.786931115954925531e+01
3.930000000000000000e+02,2.193131768542337018e-17,6.709876236358774280e-20,1.924373766933517911e-17,4.333337280226941601e+01,1.325782484107088377e-01,3.802307141301521654e+01
3.940000000000000000e+02,2.196063900443400332e-17,6.718847079992986064e-20,1.926946579836294508e-17,4.350171828932628415e+01,1.330933006293230914e-01,3.817078695100553176e+01
3.950000000000000000e+02,2.195579314197121108e-17,6.717364490672538677e-20,1.926521377359392563e-17,4.360250523418114454e+01,1.334016578087306726e-01,3.825922292895727139e+01
3.960000000000000000e+02,2.193115486923254118e-17,6.709826422822469321e-20,1.924359480550412432e-17,4.366383774869827050e+01,1.335893043457867246e-01,3.831303943177292126e+01
3.970000000000000000e+02,2.193251301407384941e-17,6.710241946592037422e-20,1.924478651607153939e-17,4.377681079229421357e+01,1.339349448364524353e-01,3.841216815927803907e+01
3.980000000000000000e+02,2.190363948521718679e-17,6.701408104142893566e-20,1.921945130261672462e-17,4.382930374618623404e+01,1.340955467797321221e-01,3.845822834812195623e+01
3.990000000000000000e+02,2.186173628145733331e-17,6.688587838841534208e-20,1.918268313974453636e-17,4.385536840775000655e+01,1.341752914880730008e-01,3.848109890778315645e+01
4.000000000000000000e+02,2.182871186791387762e-17,6.678484035192644791e-20,1.915370571303313201e-17,4.389886750711690411e+01,1.343083767761215908e-01,3.851926739674838984e+01
4.010000000000000000e+02,2.181025576759957907e-17,6.672837400061502020e-20,1.913751132116203249e-17,4.397140554453208239e+01,1.345303065572982515e-01,3.858291623824020178e+01
4.020000000000000000e+02,2.180539180671668484e-17,6.671349273538014569e-20,1.913324341584932485e-17,4.407122929260989252e+01,1.348357168407381679e-01,3.867050705465776161e+01
4.030000000000000000e+02,2.179607231569838612e-17,6.668497979684376184e-20,1.912506598470085131e-17,4.416197658736275855e+01,1.351133577583109313e-01,3.875013369449192879e+01
4.040000000000000000e+02,2.178894869781728575e-17,6.666318512174812257e-20,1.911881533274610651e-17,4.425709036660726525e+01,1.354043579144607601e-01,3.883359172664368231e+01
4.050000000000000000e+02,2.178591482060234447e-17,6.665390298880902336e-20,1.911615324293998005e-17,4.436046004195048198e+01,1.357206169455387468e-01,3.892429393358820278e+01
4.060000000000000000e+02,2.178223599155482693e-17,6.664264762879936791e-20,1.911292523712034793e-17,4.446248271780422812e+01,1.360327548380721174e-01,3.901381420950659873e+01
4.070000000000000000e+02,2.177980937422230341e-17,6.663522340458822751e-20,1.911079599034909770e-17,4.456703074564342870e+01,1.363526190330186516e-01,3.910555036738101364e+01
4.080000000000000000e+02,2.179940324081195838e-17,6.669517074641880819e-20,1.912798872058025292e-17,4.471672459653734677e+01,1.368106066593206271e-01,3.923689993965179923e+01
4.090000000000000000e+02,2.178626223658683289e-17,6.665496590636459718e-20,1.911645808472666608e-17,4.479930243722481009e+01,1.370632531709558566e-01,3.930935825366116632e+01
4.100000000000000000e+02,2.174331956026486496e-17,6.652358299198095943e-20,1.907877783177458813e-17,4.482031684116941506e+01,1.371275466400814491e-01,3.932779744106376540e+01
4.110000000000000000e+02,2.172242969553171192e-17,6.645967054998168443e-20,1.906044792188778391e-17,4.488646860162661767e+01,1.373299376372170699e-01,3.938584261385560836e+01
4.120000000000000000e+02,2.172446646660469564e-17,6.646590204141213448e-20,1.906223509622829774e-17,4.499990037325860470e+01,1.376769816041317485e-01,3.948537385442966752e+01
4.130000000000000000e+02,2.170335538277311607e-17,6.640131278063122318e-20,1.904371107660496579e-17,4.506528794914679281e+01,1.378770345822056265e-01,3.954274848988361413e+01
4.140000000000000000e+02,2.168449959750175180e-17,6.634362359509071036e-20,1.902716597929179225e-17,4.513515753326156954e+01,1.380908002431752435e-01,3.960405588449875580e+01
4.150000000000000000e+02,2.170255011989405722e-17,6.639884908267483895e-20,1.904300449491107488e-17,4.528184162773270316e+01,1.385395795339872393e-01,3.973276453186574741e+01
4.160000000000000000e+02,2.174053866354738827e-17,6.651507485167310666e-20,1.907633772089369077e-17,4.547040766232134246e+01,1.391164964217999900e-01,3.989822268422210527e+01
4.170000000000000000e+02,2.173205920694220028e-17,6.648913199443649765e-20,1.906889738188491280e-17,4.556193408393613709e+01,1.393965210743088046e-01,3.997853297257923089e+01
4.180000000000000000e+02,2.172860898049515866e-17,6.647857604299794367e-20,1.906586996449034347e-17,4.566394446378570393e+01,1.397086213472757132e-01,4.006804245931103026e+01
