# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for NCPA calibration mode
# Source is NCPA MGG Lamps
# nm, W/nm, photons/s/nm
1.898870000000000005e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.901570000000000107e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.904269999999999925e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.906970000000000027e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.909670000000000130e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.912369999999999948e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.915060000000000002e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.917760000000000105e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.920459999999999923e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.923160000000000025e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.925860000000000127e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.928559999999999945e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.931260000000000048e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.933950000000000102e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.936649999999999920e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.939350000000000023e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.942050000000000125e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.944749999999999943e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.947450000000000045e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.950140000000000100e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.952839999999999918e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.955540000000000020e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.958240000000000123e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.960939999999999941e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.963629999999999995e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.966330000000000098e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.969029999999999916e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.971730000000000018e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.974420000000000073e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.977119999999999891e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.979819999999999993e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.982510000000000048e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.985209999999999866e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.987909999999999968e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.990610000000000070e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.993300000000000125e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.995999999999999943e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.998700000000000045e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.001390000000000100e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.004089999999999918e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.006790000000000020e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.009480000000000075e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.012179999999999893e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.014869999999999948e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.017570000000000050e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.020269999999999868e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.022959999999999923e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.025660000000000025e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.028360000000000127e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.031049999999999898e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.033750000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.036440000000000055e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.039139999999999873e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.041829999999999927e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.044530000000000030e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.047230000000000132e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.049919999999999902e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.052620000000000005e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.055310000000000059e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.058009999999999877e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.060699999999999932e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.063400000000000034e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.066090000000000089e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.068789999999999907e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.071479999999999961e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.074180000000000064e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.076870000000000118e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.079569999999999936e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.082259999999999991e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.084960000000000093e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.087649999999999864e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.090339999999999918e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.093040000000000020e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.095730000000000075e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.098429999999999893e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.101119999999999948e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.103820000000000050e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.106510000000000105e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.109199999999999875e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.111899999999999977e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.114590000000000032e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.117280000000000086e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.119979999999999905e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.122669999999999959e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.125370000000000061e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.128060000000000116e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.130749999999999886e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.133449999999999989e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.136140000000000043e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.138830000000000098e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.141519999999999868e+02,0.000000000000000000e+00,0.000000000000000000e+00
