# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for Spectrograph Grid Pinholes calibration mode
# Source is Thorlabs SLS201L QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
4.350000000000000000e+02,5.010454069979491479e-19,1.532946044544677843e-21,4.396446447493825857e-19,1.095800663871834724e+00,3.352596929999672980e-03,9.615154372346981226e-01
4.360000000000000000e+02,5.061148193134181565e-19,1.548455887462359981e-21,4.440928243861867784e-19,1.109432183110358627e+00,3.394302498409195942e-03,9.734764777897307875e-01
4.370000000000000000e+02,5.162025717344181754e-19,1.579319318113828319e-21,4.529443701094038712e-19,1.134140391392361780e+00,3.469897144372765044e-03,9.951568111503744651e-01
4.380000000000000000e+02,5.279304945429965602e-19,1.615200842281176316e-21,4.632350910397061267e-19,1.162561873352601971e+00,3.556852533530192786e-03,1.020095373933591398e+00
4.390000000000000000e+02,5.284581975772674428e-19,1.616815347209834548e-21,4.636981265446621986e-19,1.166380838292712108e+00,3.568536638638097024e-03,1.023446342650109253e+00
4.400000000000000000e+02,5.381679410027178797e-19,1.646522261133603564e-21,4.722179865000041132e-19,1.190517315440904556e+00,3.642382075911441194e-03,1.044625007843146491e+00
4.410000000000000000e+02,5.436958339121638000e-19,1.663434823252422436e-21,4.770684620865329395e-19,1.205479450755476467e+00,3.688158657889986820e-03,1.057753603721272251e+00
4.420000000000000000e+02,5.545117090773249309e-19,1.696525941983684943e-21,4.865589025301081612e-19,1.232248242394055726e+00,3.770057648852633784e-03,1.081242005622462754e+00
4.430000000000000000e+02,5.613383809277359937e-19,1.717412112107852854e-21,4.925489977960784744e-19,1.250240838365948237e+00,3.825105910828451375e-03,1.097029693432191033e+00
4.440000000000000000e+02,5.726563709659108923e-19,1.752039448909859084e-21,5.024800212923797166e-19,1.278327947254220609e+00,3.911038287159263743e-03,1.121674858993547685e+00
4.450000000000000000e+02,5.782994733902707579e-19,1.769304493992725694e-21,5.074315880086718006e-19,1.293832406529263679e+00,3.958474106720779803e-03,1.135279319576968371e+00
4.460000000000000000e+02,5.838675856759615542e-19,1.786340107102268257e-21,5.123173542757144538e-19,1.309225456065756132e+00,4.005569068715996925e-03,1.148786023162235770e+00
4.470000000000000000e+02,5.906409299784643423e-19,1.807063121846725002e-21,5.182606570344029205e-19,1.327383085471963708e+00,4.061122249700784698e-03,1.164718520333726026e+00
4.480000000000000000e+02,5.980643558224444183e-19,1.829775057981779878e-21,5.247743768937556314e-19,1.347073058866038897e+00,4.121363629843325348e-03,1.181995579931636620e+00
4.490000000000000000e+02,6.068436806781387678e-19,1.856635360707525901e-21,5.324778367068039355e-19,1.369898504899368374e+00,4.191197973643435645e-03,1.202023874717722540e+00
4.500000000000000000e+02,6.190248100375504241e-19,1.893903468166045213e-21,5.431662258529133188e-19,1.400508619994458082e+00,4.284849475488790999e-03,1.228882863920618629e+00
4.510000000000000000e+02,6.272463672972347246e-19,1.919057283579190248e-21,5.503802698701562617e-19,1.422263004781562978e+00,4.351406912489768145e-03,1.247971350987634453e+00
4.520000000000000000e+02,6.379670510546237715e-19,1.951857164650191053e-21,5.597871841660636900e-19,1.449779321652538977e+00,4.435592953352873562e-03,1.272115672413578924e+00
4.530000000000000000e+02,6.473666214795332769e-19,1.980615105751012839e-21,5.680348813658368166e-19,1.474394567773899656e+00,4.510903182027194668e-03,1.293714435689915065e+00
4.540000000000000000e+02,6.529547796283644697e-19,1.997712049083687560e-21,5.729382369696061206e-19,1.490404574918438918e+00,4.559885722895899024e-03,1.307762491624943291e+00
4.550000000000000000e+02,6.680666906884767096e-19,2.043946869244816544e-21,5.861982542788447166e-19,1.528257135561874813e+00,4.675695452520822575e-03,1.340976398677095727e+00
4.560000000000000000e+02,6.686700413025236523e-19,2.045792817584745681e-21,5.867276671078361971e-19,1.532999189713176724e+00,4.690203744689010537e-03,1.345137336355823887e+00
4.570000000000000000e+02,6.855650424448521341e-19,2.097482993389143753e-21,6.015522651812196768e-19,1.575179609840610784e+00,4.819254539863443258e-03,1.382148744031259202e+00
4.580000000000000000e+02,6.873995836334720619e-19,2.103095763448247080e-21,6.031619919602383416e-19,1.582850725510961620e+00,4.842724281846642886e-03,1.388879800491650052e+00
