# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for Spectrograph Grid Pinholes calibration mode
# Source is Thorlabs OSL2IR QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
7.350000000000000000e+02,1.513350061961491614e-15,4.630087331595492026e-18,1.327896116958596331e-15,5.592319233492692547e+03,1.710967415144639148e+01,4.907006767041571038e+03
7.360000000000000000e+02,1.513046309548057325e-15,4.629158002528322776e-18,1.327629587977328409e-15,5.598803840258272430e+03,1.712951377506709960e+01,4.912696715692880389e+03
7.370000000000000000e+02,1.504006361690070023e-15,4.601500324964084419e-18,1.319697443287308224e-15,5.572914472426252360e+03,1.705030537706651828e+01,4.889979968339598599e+03
7.380000000000000000e+02,1.504582714770041514e-15,4.603263674476650542e-18,1.320203167003273474e-15,5.582614597789295658e+03,1.707998286457400283e+01,4.898491388880925115e+03
7.390000000000000000e+02,1.495208041846581040e-15,4.574581907163338697e-18,1.311977316233039256e-15,5.555348129334457553e+03,1.699656123375418559e+01,4.874566298120745159e+03
7.400000000000000000e+02,1.485398844904564839e-15,4.544570715677684009e-18,1.303370190322658193e-15,5.526370765356350603e+03,1.690790512620154118e+01,4.849139974051116951e+03
7.410000000000000000e+02,1.491498503977850592e-15,4.563232593660935311e-18,1.308722364814057263e-15,5.556563054035130335e+03,1.700027829010937097e+01,4.875632339503351432e+03
7.420000000000000000e+02,1.487942527169283884e-15,4.552353099493240066e-18,1.305602156268276094e-15,5.550796154648611264e+03,1.698263448880836890e+01,4.870572146561392401e+03
7.430000000000000000e+02,1.488004400519746250e-15,4.552542400715303351e-18,1.305656447330131079e-15,5.558508142715794747e+03,1.700622927969567755e+01,4.877339066698277747e+03
7.440000000000000000e+02,1.480392008089575919e-15,4.529252322206711302e-18,1.298976917852538606e-15,5.537514600395398702e+03,1.694199963661032626e+01,4.858918184425786421e+03
7.450000000000000000e+02,1.470093748876416249e-15,4.497744847023781973e-18,1.289940661956223872e-15,5.506384328370691037e+03,1.684675671710768441e+01,4.831602781082890942e+03
7.460000000000000000e+02,1.477896398449538137e-15,4.521617016358195730e-18,1.296787133457145485e-15,5.543040287799675752e+03,1.695890545099655355e+01,4.863766724781450648e+03
7.470000000000000000e+02,1.472513024336003141e-15,4.505146608809521022e-18,1.292063466566596015e-15,5.530252534836572522e+03,1.691978138150182076e+01,4.852546050906220444e+03
7.480000000000000000e+02,1.460310222404239403e-15,4.467812194218757937e-18,1.281356060720124791e-15,5.491764938956114747e+03,1.680202876458336547e+01,4.818774929203888860e+03
7.490000000000000000e+02,1.466040529191656358e-15,4.485344040636489757e-18,1.286384145314200787e-15,5.520685552360738257e+03,1.689051124402579873e+01,4.844151457216372364e+03
7.500000000000000000e+02,1.462628526854667340e-15,4.474905035681224749e-18,1.283390267844457382e-15,5.515190523584718903e+03,1.687369922956721169e+01,4.839329818418014838e+03
7.510000000000000000e+02,1.452870658400827443e-15,4.445050883461518751e-18,1.274828180357010818e-15,5.485700676013180782e+03,1.678347518089291768e+01,4.813453813213250214e+03
7.520000000000000000e+02,1.451131649064325250e-15,4.439730392650536993e-18,1.273302278450149421e-15,5.486430367503131492e+03,1.678570766854300800e+01,4.814094084436966114e+03
7.530000000000000000e+02,1.442971484337664284e-15,4.414764407400783097e-18,1.266142103599242090e-15,5.462833221248171867e+03,1.671351231157762740e+01,4.793388657668322594e+03
7.540000000000000000e+02,1.449687304953564479e-15,4.435311428699110198e-18,1.272034931929050662e-15,5.495546646229198814e+03,1.681359888003584402e+01,4.822093206005552020e+03
7.550000000000000000e+02,1.442092322226119628e-15,4.412074615093373114e-18,1.265370678676852247e-15,5.474005546911616875e+03,1.674769398891652727e+01,4.803191867275131699e+03
7.560000000000000000e+02,1.435018537883125349e-15,4.390432405471043938e-18,1.259163753394086123e-15,5.454369103266179081e+03,1.668761638278587256e+01,4.785961777606482428e+03
7.570000000000000000e+02,1.437887955657865576e-15,4.399211375533435691e-18,1.261681537492281334e-15,5.472504687948739047e+03,1.674310211804329285e+01,4.801874931531709080e+03
7.580000000000000000e+02,1.423931902454801326e-15,4.356512896999773301e-18,1.249435733086394848e-15,5.426547923885065757e+03,1.660249761652000444e+01,4.761549953139705394e+03
