# Timestamp Tue Jun  3 17:29:50 2025
# At the Calibration unit focal plane for Spectrograph Ronchi calibration mode
# Source is Thorlabs SLS201L QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
7.610000000000000000e+02,9.539722308912981295e-14,2.918673512471222663e-16,8.370674128396859871e-14,3.649939003058209200e+05,1.116697105575967953e+03,3.202656114484670688e+05
7.620000000000000000e+02,9.558397096796132271e-14,2.924387054960257892e-16,8.387060408701973101e-14,3.661889687158699962e+05,1.120353411704231576e+03,3.213142298356412211e+05
7.630000000000000000e+02,9.592767952561236283e-14,2.934902801967783564e-16,8.417219277462231219e-14,3.679880315638121683e+05,1.125857635948425923e+03,3.228928259780635126e+05
7.640000000000000000e+02,9.594430805551522162e-14,2.935411551050903955e-16,8.418678355625555873e-14,3.685341948437085957e+05,1.127528619910955740e+03,3.233720595122134546e+05
7.650000000000000000e+02,9.593657776536628963e-14,2.935175043190708372e-16,8.418000057687111011e-14,3.689868375591011718e+05,1.128913478150272567e+03,3.237692329879658646e+05
7.660000000000000000e+02,9.618976124497670601e-14,2.942921179732270162e-16,8.440215760973698122e-14,3.704442288268083357e+05,1.133372359816450171e+03,3.250480277981827385e+05
7.670000000000000000e+02,9.608015532423586409e-14,2.939567791789547394e-16,8.430598337998950805e-14,3.705051741261383286e+05,1.133558821670479119e+03,3.251015045372144668e+05
7.680000000000000000e+02,9.642603799573780903e-14,2.950150055707149031e-16,8.460947975399790216e-14,3.723237666200434905e+05,1.139122796773801383e+03,3.266972370591774816e+05
7.690000000000000000e+02,9.654588167303830820e-14,2.953816667325888884e-16,8.471463715130432082e-14,3.732719105408068281e+05,1.142023638599099513e+03,3.275291903939318145e+05
7.700000000000000000e+02,9.670061252421673691e-14,2.958550650373536885e-16,8.485040646312317488e-14,3.743563179670533282e+05,1.145341377972661576e+03,3.284807087813215330e+05
7.710000000000000000e+02,9.694783491625976248e-14,2.966114407723911549e-16,8.506733291171608133e-14,3.758008080464367522e+05,1.149760788514397063e+03,3.297481833832734847e+05
7.720000000000000000e+02,9.706400593014239414e-14,2.969668654379701454e-16,8.516926771326354833e-14,3.767391280948715284e+05,1.152631574248934157e+03,3.305715167151305941e+05
7.730000000000000000e+02,9.694247169301519339e-14,2.965950320163304312e-16,8.506262692630011422e-14,3.767548045183547074e+05,1.152679536192174282e+03,3.305852720665158122e+05
7.740000000000000000e+02,9.702211815331953146e-14,2.968387099835970112e-16,8.513251308682964966e-14,3.775521339902931941e+05,1.155118961927119699e+03,3.312848925550837303e+05
7.750000000000000000e+02,9.740287481554368386e-14,2.980036331844456463e-16,8.546660980772860187e-14,3.795235192661959445e+05,1.161150405821746745e+03,3.330146938209637301e+05
7.760000000000000000e+02,9.735148273611314140e-14,2.978463993613556208e-16,8.542151558634944568e-14,3.798127229925782303e+05,1.162035223249934688e+03,3.332684569884724915e+05
7.770000000000000000e+02,9.760248663961323324e-14,2.986143446127474336e-16,8.564176013992432326e-14,3.812827155303141917e+05,1.166532658441954709e+03,3.345583088422383880e+05
7.780000000000000000e+02,9.766713769928956734e-14,2.988121442229669068e-16,8.569848851577029606e-14,3.820263103572010878e+05,1.168807683285411258e+03,3.352107796142247389e+05
7.790000000000000000e+02,9.787579916298691843e-14,2.994505429807566508e-16,8.588157949674496309e-14,3.833345779183852137e+05,1.172810321679283334e+03,3.363587251280258060e+05
7.800000000000000000e+02,9.770710199608049615e-14,2.989344147993119140e-16,8.573355537561954214e-14,3.831651058669823688e+05,1.172291822742399745e+03,3.362100210808609845e+05
7.810000000000000000e+02,9.800380741092239272e-14,2.998421836077359944e-16,8.599390093488722481e-14,3.848213855602332624e+05,1.177359202602523055e+03,3.376633314738408080e+05
7.820000000000000000e+02,9.799246124349900771e-14,2.998074700623576761e-16,8.598394518701197921e-14,3.852695057436713832e+05,1.178730224176791126e+03,3.380565366326967487e+05
7.830000000000000000e+02,9.845464068325706491e-14,3.012215058646056204e-16,8.638948670633325867e-14,3.875816171693830402e+05,1.185804118109533647e+03,3.400853096584160230e+05
7.840000000000000000e+02,9.826952125126685064e-14,3.006551338410837310e-16,8.622705279160849161e-14,3.873469314278191305e+05,1.185086098197132742e+03,3.398793835526448674e+05
7.850000000000000000e+02,9.842141819275440932e-14,3.011198618126001906e-16,8.636033547606404503e-14,3.884404890965923551e+05,1.188431832694274362e+03,3.408389308632995235e+05
7.860000000000000000e+02,9.867971324360539419e-14,3.019101142947052881e-16,8.658697768111348183e-14,3.899560312190742115e+05,1.193068626624627541e+03,3.421687504140533274e+05
7.870000000000000000e+02,9.864438917378687321e-14,3.018020404707579426e-16,8.655598241020676513e-14,3.903123895413286518e+05,1.194158903220143429e+03,3.424814386969971238e+05
7.880000000000000000e+02,9.849998020371427937e-14,3.013602219122446275e-16,8.642927008142485588e-14,3.902362212193406303e+05,1.193925866600546897e+03,3.424146044452628703e+05
7.890000000000000000e+02,9.891765671278841221e-14,3.026381012092941066e-16,8.679576229527886558e-14,3.923882913342888933e+05,1.200510114902629766e+03,3.443029484714682330e+05
7.900000000000000000e+02,9.869543205502244279e-14,3.019582059236278391e-16,8.660077022599027685e-14,3.920029729686663486e+05,1.199331235191885526e+03,3.439648490625054110e+05
7.910000000000000000e+02,9.863182896611105040e-14,3.017636125749895979e-16,8.654496139701217296e-14,3.922462378692501225e+05,1.200075503000587332e+03,3.441783029916372034e+05
7.920000000000000000e+02,9.890306868409481590e-14,3.025934692047467761e-16,8.678296196101171137e-14,3.938221739457169315e+05,1.204897071946503047e+03,3.455611155008611386e+05
7.930000000000000000e+02,9.881760499546336597e-14,3.023319934550243577e-16,8.670797144617500404e-14,3.939786865832199692e+05,1.205375921618071061e+03,3.456984482494559488e+05
7.940000000000000000e+02,9.856525036035499364e-14,3.015599156466881319e-16,8.648654168680883861e-14,3.934681185828148155e+05,1.203813841244194919e+03,3.452504479604133521e+05
7.950000000000000000e+02,9.890310058966939671e-14,3.025935668197008023e-16,8.678298995670793367e-14,3.953140521306545124e+05,1.209461466172258270e+03,3.468701710185158881e+05
7.960000000000000000e+02,9.883569381156386528e-14,3.023873361020269065e-16,8.672384356278833070e-14,3.955415398391394992e+05,1.210157463736618638e+03,3.470697811763676582e+05
7.970000000000000000e+02,9.899629828144261683e-14,3.028787047153267624e-16,8.686476670891208215e-14,3.966819996496217791e+05,1.213646695113702663e+03,3.480704829914677539e+05
7.980000000000000000e+02,9.916557866832357381e-14,3.033966172555153677e-16,8.701330257914234571e-14,3.978588827416903805e+05,1.217247363347919872e+03,3.491031445860009990e+05
7.990000000000000000e+02,9.931427054853461630e-14,3.038515393572688385e-16,8.714377296753325313e-14,3.989547620325750322e+05,1.220600200836892100e+03,3.500647290148772299e+05
8.000000000000000000e+02,9.944378827559713041e-14,3.042477982284727311e-16,8.725741890522244182e-14,3.999750156886763289e+05,1.223721662055194656e+03,3.509599553754548542e+05
8.010000000000000000e+02,9.943069201296068228e-14,3.042077302750967335e-16,8.724592752808589542e-14,4.004222438530995860e+05,1.225089954501520879e+03,3.513523778280382394e+05
8.020000000000000000e+02,9.976331067851008733e-14,3.052253755036014815e-16,8.753778533779750954e-14,4.022633241033941158e+05,1.230722730788780382e+03,3.529678423374238773e+05
8.030000000000000000e+02,9.969882283270651813e-14,3.050280752454510138e-16,8.748120017473047703e-14,4.025045486911178450e+05,1.231460756269970716e+03,3.531795059844574425e+05
8.040000000000000000e+02,9.999292059491311847e-14,3.059278659530143923e-16,8.773925763695054279e-14,4.041946111528916517e+05,1.236631494350043113e+03,3.546624592262858059e+05
8.050000000000000000e+02,9.975125079084145721e-14,3.051884783345204339e-16,8.752720333274219786e-14,4.037192402545368532e+05,1.235177099342830388e+03,3.542453427996856626e+05
8.060000000000000000e+02,1.000488451819717830e-13,3.060989669616795164e-16,8.778832892842785088e-14,4.054266928942648810e+05,1.240401042589812732e+03,3.557435551348057925e+05
8.070000000000000000e+02,1.000095882817975549e-13,3.059788606619256937e-16,8.775388277706111120e-14,4.057704260603853036e+05,1.241452692580060557e+03,3.560451654152253177e+05
8.080000000000000000e+02,1.000614463919860662e-13,3.061375203039077108e-16,8.779938591931683281e-14,4.064839049005769193e+05,1.243635577705165815e+03,3.566712107732931618e+05
8.090000000000000000e+02,1.003245549670392479e-13,3.069424997404625016e-16,8.803025177377670182e-14,4.080571391067609657e+05,1.248448880291775595e+03,3.580516525137524004e+05
8.100000000000000000e+02,1.002409677675391121e-13,3.066867651003307324e-16,8.795690779313826663e-14,4.082211357049104990e+05,1.248950627105419471e+03,3.581955520987531636e+05
8.110000000000000000e+02,1.004212095973976800e-13,3.072382141232818955e-16,8.811506183297257476e-14,4.094600351105557056e+05,1.252741033956669980e+03,3.592826301987972693e+05
8.120000000000000000e+02,1.004063582195484189e-13,3.071927764032427500e-16,8.810203042175237745e-14,4.099042879551197984e+05,1.254100223426008597e+03,3.596724419430011767e+05
8.130000000000000000e+02,1.004037954934260070e-13,3.071849357548349608e-16,8.809978174568442088e-14,4.103986210968092200e+05,1.255612633326701143e+03,3.601061968790419633e+05
8.140000000000000000e+02,1.004732242529520486e-13,3.073973527150677491e-16,8.816070233669453055e-14,4.111875542579335161e+05,1.258026370588562941e+03,3.607984499852657318e+05
8.150000000000000000e+02,1.006670841553933518e-13,3.079904661664488486e-16,8.833080561825262032e-14,4.124870466900230385e+05,1.262002161516620617e+03,3.619386957208440872e+05
8.160000000000000000e+02,1.006431552344711271e-13,3.079172557464637074e-16,8.830980907424451590e-14,4.128949958337277058e+05,1.263250279985492170e+03,3.622966526122851647e+05
8.170000000000000000e+02,1.006146040253132126e-13,3.078299034575607154e-16,8.828475668172264410e-14,4.132837178918094723e+05,1.264439573277159980e+03,3.626377386071765213e+05
8.180000000000000000e+02,1.007992968566911015e-13,3.083949702985340168e-16,8.844681627373726803e-14,4.145491444382771151e+05,1.268311139789848312e+03,3.637480930714785936e+05
8.190000000000000000e+02,1.007825582631787979e-13,3.083437586511312845e-16,8.843212891627316561e-14,4.149870046130892588e+05,1.269650770916423198e+03,3.641322955375954625e+05
8.200000000000000000e+02,1.010983855460933289e-13,3.093100307241634006e-16,8.870925304845724861e-14,4.167957574047086528e+05,1.275184641497305392e+03,3.657193941665910534e+05
8.210000000000000000e+02,1.010744664194807962e-13,3.092368502698222769e-16,8.868826509851216916e-14,4.172053138782993774e+05,1.276437677584334551e+03,3.660787614171870518e+05
8.220000000000000000e+02,1.011941433316533824e-13,3.096030012145789067e-16,8.879327616697414550e-14,4.182080734973307699e+05,1.279505615879255402e+03,3.669586375528041972e+05
8.230000000000000000e+02,1.013294645062273066e-13,3.100170157058984270e-16,8.891201436692907034e-14,4.192767686708149267e+05,1.282775283690067681e+03,3.678963691502395086e+05
8.240000000000000000e+02,1.016199080209011073e-13,3.109056262604797272e-16,8.916686539249500744e-14,4.209894630931248539e+05,1.288015264145979700e+03,3.693991809120960534e+05
8.250000000000000000e+02,1.014970795247818778e-13,3.105298330595969915e-16,8.905908895190253957e-14,4.209909030062597594e+05,1.288019669553381391e+03,3.694004443706365419e+05
8.260000000000000000e+02,1.018176871212221682e-13,3.115107304791718869e-16,8.934040759263309010e-14,4.228326272605807753e+05,1.293654416167903491e+03,3.710164739643787616e+05
8.270000000000000000e+02,1.018860876938212779e-13,3.117200017063818832e-16,8.940042599619688444e-14,4.236289317385128816e+05,1.296090705938551309e+03,3.717151950671434752e+05
8.280000000000000000e+02,1.016753258188704658e-13,3.110751767503315275e-16,8.921549199950655303e-14,4.232637997889630497e+05,1.294973586471968474e+03,3.713948083237376995e+05
8.290000000000000000e+02,1.021501819931520350e-13,3.125279969616852505e-16,8.963215677905202782e-14,4.257541521987081505e+05,1.302592807849357087e+03,3.735799797377282521e+05
8.300000000000000000e+02,1.020174694201299617e-13,3.121219634744321236e-16,8.951570750877599526e-14,4.257139246792754275e+05,1.302469731944588830e+03,3.735446819119360880e+05
8.310000000000000000e+02,1.022454815811523829e-13,3.128195655988416211e-16,8.971577784996895337e-14,4.271794630162777030e+05,1.306953539530605440e+03,3.748306254063560045e+05
8.320000000000000000e+02,1.022466369103513849e-13,3.128231003230423439e-16,8.971679159899882061e-14,4.276983504746725666e+05,1.308541073246713268e+03,3.752859256428709486e+05
8.330000000000000000e+02,1.025439596190146066e-13,3.137327577389827670e-16,8.997767880562817563e-14,4.294576086608304176e+05,1.313923515317107331e+03,3.768295949979299912e+05
8.340000000000000000e+02,1.026132725760634501e-13,3.139448204020861991e-16,9.003849778521099074e-14,4.302637975285918801e+05,1.316390046331522854e+03,3.775369892049571499e+05
8.350000000000000000e+02,1.025345940238507353e-13,3.137041037450318527e-16,8.996946092018071524e-14,4.304494017592527671e+05,1.316957901594276564e+03,3.776998485085515422e+05
8.360000000000000000e+02,1.028836022537133127e-13,3.147718927677612225e-16,9.027569983004697277e-14,4.324318324992676498e+05,1.323023139033928601e+03,3.794393416687746067e+05
8.370000000000000000e+02,1.031140327762197896e-13,3.154768938576527099e-16,9.047789217387816865e-14,4.339187804610154126e+05,1.327572449265235491e+03,3.807440711389443604e+05
8.380000000000000000e+02,1.034580461143506074e-13,3.165294010328365496e-16,9.077974829254366493e-14,4.358865894611655385e+05,1.333592951561171731e+03,3.824707343848748133e+05
8.390000000000000000e+02,1.033339611177841780e-13,3.161497635747994784e-16,9.067086932973461438e-14,4.358833251775813987e+05,1.333582964501039669e+03,3.824678701239182847e+05
8.400000000000000000e+02,1.038348865842674456e-13,3.176823426619087598e-16,9.111040873211627711e-14,4.385183747148549883e+05,1.341644886053310074e+03,3.847800067118033185e+05
8.410000000000000000e+02,1.038551083827466865e-13,3.177442111583750809e-16,9.112815244413205051e-14,4.391259233277525054e+05,1.343503678150796759e+03,3.853131030945956009e+05
8.420000000000000000e+02,1.040582374532892287e-13,3.183656835855666996e-16,9.130638900075877492e-14,4.405079735327779781e+05,1.347732054193299064e+03,3.865257895356405061e+05
8.430000000000000000e+02,1.040522293250116570e-13,3.183473017456185075e-16,9.130111714039379674e-14,4.410056778330056695e+05,1.349254778137538551e+03,3.869625025105680106e+05
8.440000000000000000e+02,1.041959597652048746e-13,3.187870443451864703e-16,9.142723408994739803e-14,4.421387131313873106e+05,1.352721294255090243e+03,3.879566896526677883e+05
8.450000000000000000e+02,1.046849813083585661e-13,3.202832034353697945e-16,9.185632833891528562e-14,4.447401166694972198e+05,1.360680276032616803e+03,3.902393034006205271e+05
8.460000000000000000e+02,1.047327566235061504e-13,3.204293717853026960e-16,9.189824901349386150e-14,4.454696435569945024e+05,1.362912260082283183e+03,3.908794301931413356e+05
8.470000000000000000e+02,1.051818725719551083e-13,3.218034398978951148e-16,9.229232791103364384e-14,4.479087283481446793e+05,1.370374628423917329e+03,3.930196165944972308e+05
8.480000000000000000e+02,1.049666005175800584e-13,3.211448160693034704e-16,9.210343643623248853e-14,4.475197447908893810e+05,1.369184535076768952e+03,3.926783011459283880e+05
8.490000000000000000e+02,1.054295401637474231e-13,3.225611777194524702e-16,9.250964500223675127e-14,4.500235273957846803e+05,1.376844846072474638e+03,3.948752569477074430e+05
8.500000000000000000e+02,1.053771431184872533e-13,3.224008692081766893e-16,9.246366896887213572e-14,4.503296714465267723e+05,1.377781492342635602e+03,3.951438844823596301e+05
8.510000000000000000e+02,1.057642590893417085e-13,3.235852486835958247e-16,9.280334569498533741e-14,4.525157591002001427e+05,1.384469817142986813e+03,3.970620773576296633e+05
8.520000000000000000e+02,1.059260874462689013e-13,3.240803617735112858e-16,9.294534274654581637e-14,4.537407064063404687e+05,1.388217537612024444e+03,3.981369131224587909e+05
