# Timestamp Tue Jun  3 17:26:31 2025
# At the Calibration unit focal plane for Spectrograph Ronchi calibration mode
# Source is LDLS 600um Core
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
7.860000000000000000e+02,2.100053023740198527e-12,6.425102258426260167e-15,1.842701385307590307e-12,8.298852069682233967e+06,2.539029851746124405e+04,7.281866711170268245e+06
7.870000000000000000e+02,2.108215553801392044e-12,6.450075480405790155e-15,1.849863635632388579e-12,8.341707595986403525e+06,2.552141479677907046e+04,7.319470493930064142e+06
7.880000000000000000e+02,2.123605552543375135e-12,6.497161108509686193e-15,1.863367662283690078e-12,8.413278911031572148e+06,2.574038689545315719e+04,7.382271080339606851e+06
7.890000000000000000e+02,2.137681184414432657e-12,6.540225437410505121e-15,1.875718391553222046e-12,8.479791123695261776e+06,2.594388069440366598e+04,7.440632533612329513e+06
7.900000000000000000e+02,2.150320664879938824e-12,6.578895867902599923e-15,1.886808963029305848e-12,8.540740700126454234e+06,2.613035563420339167e+04,7.494113025606594980e+06
7.910000000000000000e+02,2.161660034852347857e-12,6.613588616511917107e-15,1.896758746449278524e-12,8.596646996320800856e+06,2.630140068205594434e+04,7.543168267679132521e+06
7.920000000000000000e+02,2.164514980337888255e-12,6.622323308674194699e-15,1.899263831769368973e-12,8.618883179625980556e+06,2.636943217933615961e+04,7.562679511117849499e+06
7.930000000000000000e+02,2.164051641449595967e-12,6.620905725544659269e-15,1.898857272886487590e-12,8.627918309047408402e+06,2.639707511491661717e+04,7.570607427848088555e+06
7.940000000000000000e+02,2.164510587574465611e-12,6.622309869035352630e-15,1.899259977318479935e-12,8.640630500422954559e+06,2.643596800409286152e+04,7.581761799853560515e+06
7.950000000000000000e+02,2.170364652058595173e-12,6.640220351538772974e-15,1.904396653684571357e-12,8.674911505211580545e+06,2.654085057553205115e+04,7.611841828452661633e+06
7.960000000000000000e+02,2.175973712864809055e-12,6.657381246452497922e-15,1.909318350423197843e-12,8.708270866970278323e+06,2.664291338449567047e+04,7.641113157048093155e+06
7.970000000000000000e+02,2.188991898278395041e-12,6.697210322935754297e-15,1.920741218333972025e-12,8.771375278672100976e+06,2.683598103257816183e+04,7.696484419367399998e+06
7.980000000000000000e+02,2.198564806465918800e-12,6.726498590098562847e-15,1.929141011567361711e-12,8.820787911311227828e+06,2.698715874760509541e+04,7.739841765866036527e+06
7.990000000000000000e+02,2.208141759348786923e-12,6.755799231987579215e-15,1.937544353837670856e-12,8.870313050375470892e+06,2.713868067550566775e+04,7.783297831655602902e+06
8.000000000000000000e+02,2.214675278772764825e-12,6.775788503654495841e-15,1.943277221130733629e-12,8.907693428950287402e+06,2.725304576633281977e+04,7.816097420334777795e+06
8.010000000000000000e+02,2.222618815609263876e-12,6.800091716902503842e-15,1.950247314822363044e-12,8.950817854716040194e+06,2.738498474227705083e+04,7.853937150189607404e+06
8.020000000000000000e+02,2.232601766474068292e-12,6.830634507690222664e-15,1.959006901928059031e-12,9.002245433444961905e+06,2.754232717530195441e+04,7.899062520594788715e+06
8.030000000000000000e+02,2.247401874150751445e-12,6.875915366879696149e-15,1.971993325894609022e-12,9.073221241543758661e+06,2.775947732330013241e+04,7.961340576638367027e+06
8.040000000000000000e+02,2.264601234327613486e-12,6.928536727705638454e-15,1.987084985231792104e-12,9.154044205125195906e+06,2.800675479675884344e+04,8.032259065492010675e+06
8.050000000000000000e+02,2.285707627418923906e-12,6.993111637188965411e-15,2.005604888943049951e-12,9.250852891263116151e+06,2.830294051250436314e+04,8.117204301654878072e+06
