# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for spectral calibration mode
# Source is Hector Xe
# nm, W/line, W/mm^2/line, W/mm^2/sr/line, photons/s/line, photons/s/mm^2/line, photons/s/mm^2/sr/line
4.707282051281559916e+02,4.537837264650959276e-14,1.388349157277596171e-16,3.981746612749904077e-14,1.073950724360385793e+05,3.285747143773106131e+02,9.423431052261826699e+04
4.765264957264470240e+02,6.705155315972216173e-15,2.051439086381925526e-17,5.883470012313885356e-15,1.606427433897334413e+04,4.914857109250090872e+01,1.409567293956547110e+04
4.779487179486690138e+02,4.487738400697681010e-14,1.373021433630051690e-16,3.937787129362849038e-14,1.078385527954986028e+05,3.299315404321401957e+02,9.462344444614095846e+04
4.801914529914030254e+02,3.239274616076858318e-14,9.910545312970656839e-17,2.842316720082481842e-14,7.820371968487260165e+04,2.392639091891663838e+02,6.862022099940503540e+04
4.815042735042239883e+02,2.410547353133408386e-14,7.375058185472252427e-17,2.115146092386472639e-14,5.835539728597446083e+04,1.785380610179586540e+02,5.120421732377309672e+04
4.887794871794370124e+02,3.151576548811081516e-14,9.642233492421754274e-17,2.765365639222803393e-14,7.744725838786427630e+04,2.369495194414428170e+02,6.795646048280331888e+04
4.894358974358469823e+02,3.282463866881155136e-14,1.004268262081262933e-16,2.880213330971731986e-14,8.077202858158467279e+04,2.471216380684169849e+02,7.087379569888587866e+04
4.999384615384100243e+02,7.048873521982718909e-15,2.156599508368180554e-17,6.185067165914777954e-15,1.771746095605266237e+04,5.420648770075816003e+01,1.554626929833669419e+04
5.775869671236459908e+02,4.828140530000304797e-15,1.477167303521476220e-17,4.236474575887627035e-15,1.402046780075228162e+04,4.289555468955172302e+01,1.230232529705062370e+04
5.789352989068800071e+02,6.979325980910734084e-15,2.135321471187302111e-17,6.124042349479506798e-15,2.031462128168481649e+04,6.215248738984915633e+01,1.782515981957923941e+04
5.839137547218980444e+02,9.326746876405825188e-15,2.853513779982471640e-17,8.183797835236192621e-15,2.738067263923006976e+04,8.377103797990152145e+01,2.402529975795730206e+04
5.888922105369159681e+02,6.648450970044680304e-15,2.034090418659587711e-17,5.833714517756163904e-15,1.968436897132184822e+04,6.022423343772778281e+01,1.727214197085332489e+04
5.908109903822879687e+02,7.682053133777931877e-15,2.350320510064096581e-17,6.740653589025922968e-15,2.281871000571492914e+04,6.981373495559442688e+01,2.002238422703031756e+04
5.945966911582910370e+02,7.327388229581228905e-15,2.241810950963522426e-17,6.429451203707437365e-15,2.190467971916142415e+04,6.701726363224395300e+01,1.922036406077492938e+04
6.168441655816519642e+02,6.141318677141768019e-15,1.878933534351580334e-17,5.388728906391895864e-15,1.904593562077691968e+04,5.827094963200024580e+01,1.671194563001024289e+04
6.182443562796260039e+02,8.142958238587730337e-15,2.491334208116322003e-17,7.145076937163929372e-15,2.531089982115409293e+04,7.743857786698276868e+01,2.220916788127358086e+04
6.186592275975440316e+02,1.135372662053349698e-14,3.473667270611199937e-17,9.962380728272975068e-15,3.531466938870250306e+04,1.080450633769328448e+02,3.098702245543498429e+04
6.201631361249969814e+02,6.522945735396375783e-15,1.995692151688834410e-17,5.723589360374235318e-15,2.033831314246652255e+04,6.222497252545956314e+01,1.784594835405405320e+04
6.317795330267059626e+02,1.298090829033850895e-14,3.971502730161357083e-17,1.139015892396664416e-14,4.123213764671976242e+04,1.261495294256224327e+02,3.617933276060138451e+04
6.333353004688990495e+02,5.519533697499227411e-15,1.688698714954418130e-17,4.843140756760248355e-15,1.757524149197529914e+04,5.377136792544496302e+01,1.542147816186990167e+04
6.382100384544370399e+02,6.238388831965478698e-15,1.908632102146446192e-17,5.473903569480689919e-15,2.001710596451693709e+04,6.124224068910289276e+01,1.756410360771317937e+04
6.400769593850690171e+02,7.375538672475039434e-15,2.256542556112722686e-17,6.471701035888139481e-15,2.373510491354858095e+04,7.261744082652806753e+01,2.082647924132972548e+04
6.464556058980609805e+02,1.097528994511084690e-14,3.357884749387097555e-17,9.630319690685199771e-15,3.567138115321030637e+04,1.091364213273451611e+02,3.130002086794333445e+04
6.482188089992130244e+02,6.131418279735206275e-15,1.875904512464174682e-17,5.380041756205718902e-15,1.998240650963277585e+04,6.113607787158254325e+01,1.753365640811315097e+04
6.493078462087479465e+02,5.493326257040222626e-15,1.680680560985103984e-17,4.820144915087086466e-15,1.793293031915912434e+04,5.486571519447703338e+01,1.573533390261058048e+04
6.498264353561460211e+02,6.544999519229235309e-15,2.002439496384873924e-17,5.742940556539609664e-15,2.138317600295839293e+04,6.542172548778980001e+01,1.876276817656297862e+04
6.526268167520929637e+02,6.999393640721089533e-15,2.141461162181351882e-17,6.141650811796598141e-15,2.296627446424659865e+04,7.026520771607106042e+01,2.015186535397547777e+04
6.586943097766460369e+02,6.414486778819941017e-15,1.962509185403311905e-17,5.628421539717751659e-15,2.124276491375677870e+04,6.499213842682567588e+01,1.863956380712112878e+04
6.622725748936909440e+02,4.014784802470978255e-15,1.228321504735630299e-17,3.522791774109204336e-15,1.336793297524642185e+04,4.089912748811256193e+01,1.172975555079746846e+04
6.658508400107350553e+02,1.410395108581732986e-14,4.315097140396256833e-17,1.237557809748011417e-14,4.721532266446349240e+04,1.444550555887767018e+02,4.142930654512614274e+04
6.668361593907900442e+02,7.851466614316910727e-15,2.402152484024460083e-17,6.889306242911283882e-15,2.632298563436952827e+04,8.053504960874396090e+01,2.309722732976347106e+04
6.716071795468490109e+02,1.644118299705779703e-14,5.030172134294830984e-17,1.442639321116589138e-14,5.551541750159677758e+04,1.698491563473557449e+02,4.871226372843104764e+04
6.765337764471270248e+02,4.044960915926125062e-15,1.237553872324420091e-17,3.549269946535519523e-15,1.375843481162660464e+04,4.209386600303699311e+01,1.207240322051266048e+04
6.813566555179260149e+02,1.781575110422500474e-14,5.450720594256636786e-17,1.563251445031704208e-14,6.103006831530692580e+04,1.867212043371234245e+02,5.355111997588572558e+04
6.832754353632980155e+02,8.450734050615415656e-15,2.585498071723257892e-17,7.415136268417152082e-15,2.903056303455855232e+04,8.881886981335730979e+01,2.547300383147768298e+04
6.852460741234090165e+02,5.263853177154817692e-15,1.610473381111433352e-17,4.618792683778880166e-15,1.813491565815672584e+04,5.548368838043552387e+01,1.591256688662344095e+04
6.857646632708059542e+02,1.200244747268654675e-14,3.672143107418090310e-17,1.053160388570132365e-14,4.138187204390359693e+04,1.266076411031059621e+02,3.631071791040462267e+04
6.867499826508619662e+02,3.202875936196965269e-14,9.799183724641081877e-17,2.810378527532185754e-14,1.105869780601372331e+05,3.383403344841564717e+02,9.703506309829480597e+04
6.910542725742629955e+02,6.115295819123930281e-15,1.870971853292531249e-17,5.365895027448340252e-15,2.124686427280603311e+04,6.500468039637964068e+01,1.864316080896514904e+04
6.960845873040210563e+02,9.541479184066360176e-15,2.919211027590514488e-17,8.372215706748618444e-15,3.339203921624303621e+04,1.021627854898788570e+02,2.930000158397362975e+04
7.003370183126819484e+02,3.820538099465922137e-15,1.168891818148629044e-17,3.352349092580449513e-15,1.345230900417277553e+04,4.115727554812974631e+01,1.180379169351944438e+04
7.017890679253949884e+02,1.719483655249237980e-14,5.260752081865372506e-17,1.508769006174155680e-14,6.066942341529985424e+04,1.856178129773193461e+02,5.323467041516769677e+04
7.103457888574570234e+02,5.557747548312828317e-14,1.700390224472989408e-16,4.876671679568449020e-14,1.984878112859162502e+05,6.072725165252761599e+02,1.741640619015520497e+05
7.231549407981809736e+02,1.090966244437569017e-14,3.337806046686660439e-17,9.572734532047839150e-15,3.966503921111433738e+04,1.213549991999749977e+02,3.480427488084343349e+04
7.242958369224560329e+02,8.085497833131585051e-15,2.473754224340062626e-17,7.094658034623174906e-15,2.944340080433759067e+04,9.008194501050009251e+01,2.583525027081960798e+04
