# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for spectral calibration mode
# Source is Hector Ne
# nm, W/line, W/mm^2/line, W/mm^2/sr/line, photons/s/line, photons/s/mm^2/line, photons/s/mm^2/sr/line
6.667843004760510439e+02,7.480533125374895965e-11,2.288665559142790694e-13,6.563828911527965775e-11,2.507743613469597101e+08,7.672429682637788355e+05,2.200431407349248230e+08
6.705700012520539985e+02,5.024755291716037269e-11,1.537321496547031836e-13,4.408995121649962046e-11,1.694042313854846060e+08,5.182914418624197133e+05,1.486445381722028852e+08
6.914172849774409997e+02,7.153657863847244343e-11,2.188658228026716386e-13,6.277010678640194274e-11,2.486758520803812444e+08,7.608225891230616253e+05,2.182017939265866280e+08
7.008037485453399995e+02,7.708943723427589631e-12,2.358547673204040669e-14,6.764248863163768952e-12,2.716167249222285673e+07,8.310100806959684996e+04,2.383313705077287182e+07
7.016334911811760549e+02,1.983021426038397648e-10,6.067044640737223043e-13,1.740011460447603675e-10,6.995245079127177000e+08,2.140191911730770487e+06,6.138010636948764324e+08
7.028262462201910239e+02,2.079245336037722579e-12,6.361441236662294858e-15,1.824443582042169725e-12,7.347150299136412330e+06,2.247857146764047502e+04,6.446791524420399219e+06
7.042782958329039502e+02,1.020263011268710618e-12,3.121489840392876193e-15,8.952345693132032928e-13,3.612614856096905190e+06,1.105277800528717125e+04,3.169905866498776246e+06
7.157909749051329982e+02,1.224018607132866177e-11,3.744879118832224968e-14,1.074020873524873387e-11,4.404934500259715319e+07,1.347687619593159470e+05,3.865130458164060861e+07
7.229993640539610169e+02,9.852723923157881267e-11,3.014436207786136960e-13,8.645318864340413927e-11,3.581454565431069732e+08,1.095744324389447691e+06,3.142564123158287406e+08
7.243995547519350566e+02,8.301817407920754364e-13,2.539937095572729328e-15,7.284468661129748653e-13,3.023545919522201642e+06,9.250524389797930780e+03,2.653024562456920743e+06
7.427576105698140054e+02,3.393893005705918751e-11,1.038359954215892273e-13,2.977987351986843969e-11,1.267390577902329266e+08,3.877575457540360512e+05,1.112077812905417979e+08
7.462321578573779561e+02,4.058465252418560149e-13,1.241685517664572641e-15,3.561119389992880761e-13,1.522653234239059966e+06,4.658550343022068773e+03,1.336059229151401203e+06
7.478916431290509763e+02,5.101012439753525629e-12,1.560652334794353311e-14,4.475907314218329714e-12,1.918051571236296371e+07,5.868269678343583655e+04,1.683003356321812049e+07
7.527663811145889667e+02,4.760738595672489684e-12,1.456545713705584049e-14,4.177332432163525589e-12,1.801771726544459909e+07,5.512512045420405775e+04,1.580973060669855028e+07
7.536479826651650455e+02,2.128561045486491986e-12,6.512322415648364425e-15,1.867715882832379031e-12,8.065287772300399840e+06,2.467570965821279606e+04,7.076924621861792170e+06
7.914745842332613393e+02,2.936831682776917632e-13,8.985222594056817016e-16,2.576936748306475292e-13,1.168641344941644464e+06,3.575452648001220041e+03,1.025429834822162054e+06
8.052852980561555114e+02,5.269987407359120319e-13,1.612350145930884103e-15,4.624175192871499499e-13,2.133656802457202692e+06,6.527912859913715693e+03,1.872187178710611770e+06
8.104565853131749691e+02,4.851617389900593639e-13,1.484350037664895934e-15,4.257074456829626622e-13,1.976885501792284660e+06,6.048271809629835843e+03,1.734627464910044568e+06
8.232473736501079884e+02,2.133798128015871921e-13,6.528345244789676013e-16,1.872311185485581105e-13,8.831793387574579101e+05,2.702082994999634593e+03,7.749498572683384409e+05
8.264416349892009066e+02,1.097782605324024703e-12,3.358660670465547356e-15,9.632545010670221288e-13,4.561353701391110197e+06,1.395543999936386535e+04,4.002381220575851388e+06
8.340523012958963136e+02,5.193167426953060569e-12,1.588847109387541311e-14,4.556769140398863834e-12,2.177663772481191158e+07,6.662551975827108254e+04,1.910801301168324053e+07
8.382223142548596115e+02,8.549076142585206262e-13,2.615585788084253596e-15,7.501426998726443932e-13,3.602828752628849354e+06,1.102283746817548672e+04,3.161319004065543879e+06
8.455748088552916215e+02,2.807305503460251102e-12,8.588937863221471162e-15,2.463283394147191008e-12,1.193457423070291989e+07,3.651377321248604130e+04,1.047204819086186774e+07
8.551222537796976439e+02,9.153819197380476326e-13,2.800606638663185047e-15,8.032061631390008336e-13,3.935462293994900305e+06,1.204052820917067038e+04,3.453189866632307880e+06
8.592795053995680519e+02,1.027285260960911977e-12,3.142974379995709652e-15,9.013962752746790414e-13,4.438035047474904917e+06,1.357814716302779016e+04,3.894174688723172992e+06
8.612349352051835467e+02,1.706057847811163851e-12,5.219675887732934056e-15,1.496988468404232840e-12,7.387212770316453651e+06,2.260114240806300950e+04,6.481944527848297730e+06
8.639236511879049658e+02,5.443325889680268199e-13,1.665382972323536660e-15,4.776271857998279410e-13,2.364312708505896851e+06,7.233603509682832737e+03,2.074577286389096174e+06
8.736890205183585749e+02,2.177040169461103583e-12,6.660644065347023219e-15,1.910254117770568090e-12,9.562876286000970751e+06,2.925757460771472688e+04,8.390990694299289957e+06
8.807597840172786618e+02,6.107619672816215712e-13,1.868623339973097645e-15,5.359159556831576131e-13,2.704547905424481258e+06,8.274551479760440998e+03,2.373118257309761364e+06
8.819789827213824083e+02,4.184233095005802849e-13,1.280164129409599662e-15,3.671474973943759979e-13,1.855407565913705155e+06,5.676610641393076548e+03,1.628036079741544323e+06
8.873377634989201397e+02,1.235527202493641612e-13,3.780089611714036609e-16,1.084119144556371461e-13,5.511965533447891939e+05,1.686383238755070579e+03,4.836500035681314184e+05
9.097005377969762776e+02,1.410469723549636831e-13,4.315325424536405861e-16,1.237623281001911709e-13,6.451005862541263923e+05,1.973682181734406186e+03,5.660465381184000289e+05
