# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for ACM calibration mode
# Source is ACM MGG Lamps
# nm, W/nm, photons/s/nm
1.898870000000000005e+02,8.092839936117130075e-17,7.726119140017465270e+01
1.901570000000000107e+02,7.286222446602985327e-16,6.965943699239236366e+02
1.904269999999999925e+02,5.566327303671997001e-16,5.329205678513561679e+02
1.906970000000000027e+02,7.347552040847036317e-16,7.044525548182037937e+02
1.909670000000000130e+02,7.410214887139870080e-16,7.114663179248062761e+02
1.912369999999999948e+02,1.275922210686012504e-16,1.226764885897239878e+02
1.915060000000000002e+02,1.539906116345187378e-16,1.482660938747116859e+02
1.917760000000000105e+02,1.523907091759782504e-16,1.469325321414399639e+02
1.920459999999999923e+02,6.554267071820727690e-16,6.328410126067790316e+02
1.923160000000000025e+02,9.782070281926095372e-16,9.458263591447457657e+02
1.925860000000000127e+02,5.458333887720515396e-16,5.285061287584430829e+02
1.928559999999999945e+02,7.451545700652165656e-16,7.225114618627321761e+02
1.931260000000000048e+02,8.770131976899256016e-16,8.515537999852417670e+02
1.933950000000000102e+02,9.102111737046399446e-16,8.850190544927545488e+02
1.936649999999999920e+02,4.846371197328793204e-16,4.718815876976776735e+02
1.939350000000000023e+02,2.698502146738232696e-16,2.631141346544390558e+02
1.942050000000000125e+02,1.878552136736249855e-16,1.834209239390967809e+02
1.944749999999999943e+02,1.527906847906133784e-16,1.493914953476849803e+02
1.947450000000000045e+02,2.163868075175964149e-16,2.118665099548231296e+02
1.950140000000000100e+02,4.243741271278554867e-16,4.160829362881429461e+02
1.952839999999999918e+02,1.253256925856689077e-16,1.230472727546494269e+02
1.955540000000000020e+02,3.266467519520094381e-17,3.211517291665322205e+01
1.958240000000000123e+02,4.566388267084213457e-16,4.495768808514324633e+02
1.960939999999999941e+02,5.936971373233868486e-16,5.853215004841239306e+02
1.963629999999999995e+02,2.791829790153092941e-16,2.756219573071050490e+02
1.966330000000000098e+02,1.613234979028291221e-16,1.594847831228104553e+02
1.969029999999999916e+02,5.568993807769565507e-16,5.513079877985172743e+02
1.971730000000000018e+02,3.985090373814515281e-16,3.950488809834738504e+02
1.974420000000000073e+02,5.443668115183895021e-16,5.403764303660829000e+02
1.977119999999999891e+02,6.072963082209807080e-16,6.036690180542309463e+02
1.979819999999999993e+02,6.527602030845053476e-16,6.497474636856538837e+02
1.982510000000000048e+02,4.605052576498940526e-16,4.590026537674668816e+02
1.985209999999999866e+02,1.986545552687730967e-16,1.982760229588341190e+02
1.987909999999999968e+02,3.253134999032256657e-16,3.251352235257020311e+02
1.990610000000000070e+02,4.415730785571652517e-16,4.419305107625332880e+02
1.993300000000000125e+02,2.723833935665123151e-16,2.729722566094163199e+02
1.995999999999999943e+02,8.500815063044946349e-16,8.530732461456869942e+02
1.998700000000000045e+02,5.852976494160494562e-16,5.881520421758965540e+02
2.001390000000000100e+02,4.078418017229374046e-16,4.103823547261286535e+02
2.004089999999999918e+02,6.014299992063324596e-16,6.059928844190141035e+02
2.006790000000000020e+02,7.892852128799574451e-16,7.963447322048115211e+02
