Wavelength,tpt
783,0.979928001
784,0.979879653
785,0.97983295
786,0.979787927
787,0.979744619
788,0.979701138
789,0.979659377
790,0.979619369
791,0.979581145
792,0.979544734
793,0.979510166
794,0.979477466
795,0.979446659
796,0.979417771
797,0.979390822
798,0.979365835
799,0.979342828
800,0.97932182
801,0.979302828
802,0.979285865
803,0.979273234
804,0.979262693
805,0.979254252
806,0.979247917
807,0.979243693
808,0.979241584
809,0.979241592
810,0.979243719
811,0.979247963
812,0.979254324
813,0.979262796
814,0.979273377
815,0.979286059
816,0.979300835
817,0.979317697
818,0.979334188
819,0.979352735
820,0.979373326
821,0.979395952
822,0.979420598
823,0.979447252
824,0.979475897
825,0.979506517
826,0.979539094
827,0.97957361
828,0.979610044
829,0.979648374
830,0.979688579
831,0.979730635
832,0.979774517
833,0.979822802
834,0.979872843
835,0.979924607
836,0.979978064
837,0.980033182
838,0.980089926
839,0.980148261
840,0.980208154
841,0.980269567
842,0.980332462
843,0.980396803
844,0.98046255
845,0.980529664
846,0.980598104
847,0.980665444
848,0.980734069
849,0.980803938
850,0.980875009
851,0.980947242
852,0.981020592
853,0.981095018
854,0.981170475
855,0.981246919
856,0.981324305
857,0.981402586
858,0.981481718
859,0.981561653
860,0.981642344
861,0.981723743
862,0.981807688
863,0.981892187
864,0.981977191
865,0.982062649
866,0.982148509
867,0.98223472
868,0.98232123
869,0.982407987
870,0.982494939
871,0.982582033
872,0.982669218
873,0.982756439
874,0.982843645
875,0.982930782
876,0.983017797
877,0.983103238
878,0.98318852
879,0.983273591
880,0.983358397
881,0.983442886
882,0.983527005
883,0.983610703
884,0.983693926
885,0.983776622
886,0.983858738
887,0.983940222
888,0.984021022
889,0.984101085
890,0.984180359
891,0.984258792
892,0.984337204
893,0.984414596
894,0.984490918
895,0.984566116
896,0.984640141
897,0.984712942
898,0.984784467
899,0.984854667
900,0.984923491
901,0.98499089
902,0.985056816
903,0.985121218
904,0.985184048
905,0.98524526
906,0.985304804
907,0.985362338
908,0.985418184
909,0.985472297
910,0.985524629
911,0.985575135
912,0.985623769
913,0.985670487
914,0.985715244
915,0.985757995
916,0.985798698
917,0.985837309
918,0.985873785
919,0.985908086
920,0.985940168
921,0.985969992
922,0.985997294
923,0.986022191
924,0.986044643
925,0.986064615
926,0.986082068
927,0.986096967
928,0.986109275
929,0.986118957
930,0.98612598
931,0.986130309
932,0.986131911
933,0.986130753
934,0.986126805
935,0.986120035
